,sentence,canonical_aspect,raw_aspects,aspect_categories,sentiments,tones,avg_confidence
356,"Perseroan berkomitmen menjalankan bisnis yang berkelanjutan, bisnis yang tidak hanya memandang profitabilitas sebagai satu-satunya tujuan namun bisnis yang memberikan nilai tambah bagi seluruh pemangku kepentingan secara berkesinambungan.",sustainable business practices,"Sustainable Business, Sustainable Business Practices, sustainable business practices",E-S-G,positive,commitment,0.93
361,"Perseroan menyadari pentingnya bisnis berkelanjutan, bertumbuh dengan memberi nilai tambah bagi seluruh pemangku kepentingan.",sustainable business practices,"Sustainable Business, Sustainable Business Practices, sustainable business growth",E-S-G,positive,commitment,0.9233333333
204,"For Indonesia – a vast archipelago with over 270 million people – digital transformation is not merely a necessity, but a golden opportunity to realize equitable, inclusive, and sustainable development.",sustainable development,Sustainable Development,E-S,positive,outcome,0.9
338,"Pemerintah melalui ketentuan Peraturan Otoritas Jasa Keuangan (""OJK"") No. 51/POJK.03/2017 terus mendorong adanya keseimbangan antara aspek ekonomi, sosial dan lingkungan hidup agar tercipta pembangunan yang berkelanjutan.",sustainable development,Sustainable Development,E-S-G,neutral,outcome,0.9
215,Hal ini juga bisa diartikan sebagai peran serta Perseroan dalam mendukung Tujuan Pembangunan Berkelanjutan (TPB).,sustainable development goals,Sustainable Development Goals,E-S-G,positive,outcome,0.86
239,"In line with this determination, the Company also combines the PIK 2 area development strategy by prioritizing sustainability principles and supporting the achievement of the Sustainable Development Goals (SDG).",sustainable development integration,Sustainable Development Integration,E-S-G,positive,action,0.9
386,"Sejalan dengan tekad tersebut, Perseroan juga memadukan strategi pengembangan kawasan PIK 2 dengan mengedepankan prinsip keberlanjutan dan mendukung pencapaian Tujuan Pembangunan Berkelanjutan (TPB).",sustainable development integration,Sustainable Development Integration,E-S-G,positive,action,0.9
337,"Pemerintah melalui ketentuan Peraturan Otoritas Jasa Keuangan (""OJK"") No. 51/POJK.03/2017 tentang Penerapan Keuangan Berkelanjutan Bagi Lembaga Jasa Keuangan, Emiten, Dan Perusahaan Publik (""POJK No. 51"") terus mendorong adanya keseimbangan antara aspek ekonomi, sosial dan lingkungan hidup agar tercipta pembangunan yang berkelanjutan.",sustainable development regulation,sustainable development regulation,E-S-G,neutral,outcome,0.75
319,"Moving forward, the Board of Commissioners supports BRI to continue its commitment in implementing sustainable finance principles that are well structured and planned.",sustainable finance,"Sustainable finance commitment, sustainable finance",E-G,positive,commitment,0.875
118,"As seen in previous years, various challenges such as shifts in consumer behavior, geopolitical tensions, and climate change issues have made the implementation of sustainable finance principles even more relevant.",sustainable finance relevance,Sustainable finance relevance,E-G,neutral,outcome,0.8
476,"Together, these efforts are driving meaningful change—empowering people, strengthening systems, and opening doors to a more inclusive, sustainable future of work.",sustainable future,"inclusive and sustainable future, sustainable future",S,positive,outcome,0.925
139,"CPIN berkomitmen untuk terus tumbuh secara berkelanjutan, memberikan manfaat bagi masyarakat luas, dan menjaga keseimbangan antara kemajuan bisnis dan keberlanjutan lingkungan.",sustainable growth,"Sustainable Growth, sustainable growth",E-S-G,positive,commitment,0.96
109,"Agar dapat memperkuat posisi pasar dan mendorong pertumbuhan jangka panjang secara berkelanjutan, kami melakukan berbagai tindakan untuk menata ulang bisnis guna mengoptimalkan sumber daya dan mendorong pertumbuhan.",sustainable growth,Sustainable Growth,E-S-G,positive,action,0.9
141,CPIN is committed to sustainable growth that benefits the wider community and balances our business progress with environmental responsibility.,sustainable growth,Sustainable Growth,E-S-G,positive,commitment,0.96
472,"To solidify our market position and drive long-term sustainable growth, we have undertaken various actions to reorganise our business, optimising resources and driving growth.",sustainable growth,Sustainable Growth,E-S-G,positive,action,0.8
255,"It is not a separate initiative, but a core element of our strategy to grow responsibly and create lasting value for all our stakeholders.",sustainable growth strategy,sustainable growth strategy,E-S-G,positive,commitment,0.95
473,"To solidify our market position and drive long-term sustainable growth, we have undertaken various actions to reorganise our business, optimising resources and driving growth.",sustainable growth strategy,sustainable growth strategy,E-S-G,positive,action,0.85
142,"Composed of domain expert representatives from across our organization, the Sustainable Impact Steering Committee manages and helps drive progress toward our goals.",sustainable impact steering committee,"Steering Committee, Sustainable Impact Steering Committee",G,positive,outcome,0.875
324,"Our Sustainable Impact strategy focuses on customers, our value chain, and society—cutting waste, boosting efficiency, and enabling responsible growth.",sustainable impact strategy,"Sustainable Impact Strategy, sustainable impact strategy",E-S-G,positive,commitment,0.8666666667
479,Transformasi strategis ini menunjukkan arah operasi perusahaan yang lebih berkelanjutan dan bertanggung jawab terhadap lingkungan dan masyarakat.,sustainable operations,"Sustainable Operations, sustainable operations",E-S,positive,outcome,0.865
418,"The continuity of the business carried out by the Company is not only expected to be carried out strongly but also sustainably, through responsible operational management.",sustainable operations,sustainable operations,E-S-G,positive,commitment,0.8
367,Printed on FSC certified paper,sustainable sourcing,"Sustainable Sourcing, sustainable sourcing",E,positive,outcome,0.8333333333
514,"We are helping companies utilize innovative technology as more than a productivity tool but a fulfillment platform, grounded in our belief that technology can help companies deliver growth and fulfillment.",technology and innovation,"innovative technology, technology for business growth, technology for sustainability",S-G,positive,commitment,0.8833333333
107,"Additionally, we rely on third-party auditing through eco labels and certifications to validate our data, ensuring credibility and transparency in our efforts.",third-party auditing and certifications,Third-party auditing and certifications,G,positive,action,0.875
477,"Topics discussed include HP's strategy and business performance, governance practices, executive compensation, and Sustainable Impact.",topics discussed with stockholders,Topics Discussed with Stockholders,G,neutral,outcome,0.9
555,We use a variety of metrics to track progress and foster innovation as we continually refine our portfolio of products to deliver greater value to customers while minimizing environmental impact.,tracking progress and fostering innovation,Tracking progress and fostering innovation,E-G,positive,action,0.875
300,Learning without limits Continuously learning to develops ourselves,training and development,training and development,S,positive,commitment,0.8
371,Readers are advised to exercise caution and not rely solely on these statements for decision-making purposes.,transparency,Transparency,G,neutral,commitment,0.9
268,"Kami menyampaikan informasi tersebut di atas secara transparan ke dalam laporan keberlanjutan ini sebagai salah satu tanggung jawab Perseroan kepada seluruh pemangku kepentingan dan diharapkan dapat menjadi pedoman serta memotivasi internal Perseroan agar semakin peduli dan terus melakukan perbaikan tiada henti, serta inovasi demi masa depan yang lebih cerah.",transparency and accountability,Transparency and Accountability,G,positive,action,0.9
506,We are committed to transparency in our reporting.,transparency in reporting,Transparency in Reporting,G,positive,commitment,0.95
471,"To mitigate this uncertainty, we developed HP-specific tools that use a combination of HP process and product data as well as high-quality LCA data.",uncertainty mitigation methods,"Mitigating uncertainty, Mitigating uncertainty with HP-specific tools",E-G,positive,action,0.8
106,"Additionally, this report reflects BRI's commitment to integrating the Ten Principles of the UN Global Compact (UNGC) and supporting the achievement of the Sustainable Development Goals (SDGs) in relevant aspects.",ungc and sdgs commitment,UNGC and SDGs commitment,E-S-G,positive,commitment,0.9
125,"At the same time, we are transforming our value chain to embed sustainability and strengthen resilience across our global operations and supply chain.",value chain,"value chain sustainability, value chain transformation",E-S-G,positive,action,0.925
180,"Drive resilience, responsibility, and sustainability across the value chain",value chain,Value Chain Sustainability,E-S-G,positive,commitment,0.88
489,Verification was conducted through sampling documentation evidence and obtaining confirmations from relevant work units.,verification process,Verification process,G,neutral,outcome,0.8
160,"Dari aspek lingkungan, kami telah menjalankan beberapa inisiatif untuk mengurangi jejak lingkungan kami, salah satunya adalah melakukan peremajaan battery pada menara BTS Hotel dari jenis VRLA menjadi lithium yang memiliki daya tahan lebih panjang sehingga mengurangi limbah sampah.",waste management,Waste Management,E,positive,action,0.9
486,Upaya Mengakhiri Limbah Plastik,waste management,Waste Management,E,positive,commitment,0.9
526,We are working to reduce waste and promote recycling.,waste reduction and recycling,Waste Reduction and Recycling,E,positive,action,0.9
389,"Selain itu, kami berhasil menurunkan timbulan limbah cair sebesar 31,41% berkat inovasi daur ulang air dan optimasi proses produksi.",waste water reduction,Waste Water Reduction,E,positive,outcome,0.92
275,"Kami telah berhasil membangun delapan dari sembilan fasilitas daur ulang air pada tahun 2023, sebagai bentuk komitmen Sustainability-Linked Bond kami.",water stewardship,"Water Management, water recycling",E,positive,outcome,0.8966666667
257,"Kami berhasil menurunkan timbulan limbah cair sebesar 31,41% berkat inovasi daur ulang air dan optimasi proses produksi.",water stewardship,water management,E,positive,outcome,0.94
522,We are reducing water usage in our manufacturing processes.,water usage reduction,Water usage reduction,E,positive,action,0.86
400,Setiap pelapor akan dijamin kerahasiaan datanya dan tidak akan dikenai sanksi apapun atas pelaporan tersebut.,whistleblower protection,whistleblower protection,G,positive,commitment,0.9
200,"FKS Group telah meluncurkan mekanisme whistleblowing system dalam program FKS SpeakUp, dimana setiap karyawan dapat menyampaikan dugaan dan laporan atas adanya indikasi penyimpangan terhadap praktik bisnis atau berbagai pelanggaran etika di lingkungan Perusahaan.",whistleblowing system,whistleblowing system,G,positive,action,0.85
474,"To strengthen our governance, FKS Group has launched a whistleblowing system mechanism in the FKS SpeakUp program, where employees can raise concerns and reports any indication of deviant business practices or various ethical violations within the Company.",whistleblowing system,whistleblowing system,G,positive,action,0.85
505,We are committed to taking collective action to protect workers in our global supply chain from exposure to hazardous process chemicals—as one of three initial Founding Signatories of Clean Electronics Production Network's (CEPN) Toward Zero Exposure program.,worker safety and protection,"Worker Protection, supply chain worker safety",S-G,positive,commitment,0.95
454,This work is essential to unlocking opportunity for future generations and creating a workforce ready for what's next.,workforce development,"workforce development, workforce readiness",S,positive,outcome,0.9
540,We have a diverse and inclusive workforce.,workforce diversity and inclusion,Workforce Diversity and Inclusion,S,positive,outcome,0.85
240,"In order to create a safe, secure, and comfortable working environment, the company makes sure that all business operations adhere to safety regulations and consistently identifies hazards and evaluates risks that could have an impact on potential work accidents.",workplace safety,workplace safety,S-G,positive,action,0.85
484,"Untuk mewujudkan lingkungan kerja yang sehat, aman, dan nyaman, Perusahaan memastikan kegiatan usaha yang dijalankan memenuhi standar keamanan dan secara konsisten mengidentifikasi bahaya serta mengevaluasi risiko yang dapat berdampak pada potensi kecelakaan kerja.",workplace safety,workplace safety,S-G,positive,action,0.85
487,Upaya Menuju Nol Emisi,zero emissions target,zero emissions target,E,positive,commitment,0.8
