,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count,,,,,,
3328,Operating profit in 2023 increased 17.2% from 2022 to reach IDR3.6 trillion. Our net profit in 2023 was IDR2.4 trillion,profitability,none,positive,outcome,1,,,,,,
3329,"Operating profit totaled IDR3,069.5 billion, an increase from 2021 at IDR1,221.7 billion.",operating profit,none,positive,outcome,1,,,,,,
3330,"Operational Toll Road 1,264 KM",operational toll roads,none,neutral,outcome,1,,,,,,
3331,"Operational wise, the Company improves supply chain management in 2018 to be more efficient and to support our business growth.",supply chain management,g,positive,action,2,,,,,,
3332,Organizational Structure includes Audit Committee and Internal Audit,corporate governance structure,g,neutral,none,1,,,,,,
3333,"Organizational Structure including Board of Commissioners, Audit Committee, and Corporate Secretary",governance structure,g,neutral,none,1,,,,,,
3334,Organizational structure includes Audit Committee and Internal Audit functions.,governance structure,g,neutral,none,1,,,,,,
3335,"Originating as a copra pellet producer in Surabaya back in 1971, PT Japfa Comfeed Indonesia Tbk has evolved into one of the leading agri-food companies in Indonesia.",company evolution,none,positive,outcome,1,,,,,,
3336,"Originating as a copra pellet producer in Surabaya back in 1971, PT Japfa Comfeed Indonesia Tbk has evolved into one of the leading agri-food companies in Indonesia.",company evolution and growth,none,positive,outcome,1,,,,,,
3337,Our Agribusiness Group is on track to achieve 100% ISPO certification for all mills and nucleus estates by the end of 2024.,certification target,e,positive,action,1,,,,,,
3338,Our Annual and Sustainability Report complies with the applicable Swedish and EU legislation and the International Financial Reporting Standards (IFRS) adopted by the EU and is prepared in accordance with the Swedish Annual Accounts Act.,compliance with reporting standards,g,neutral,outcome,1,,,,,,
3339,"Our BOD provides robust oversight of both ESG performance and climate-related risk governance, ensuring accountability at the highest levels of our organization.",board governance,g,positive,commitment,1,,,,,,
3340,"Our BOD provides robust oversight of both ESG performance and climate-related risk governance, ensuring accountability at the highest levels of our organization.",board oversight of esg,g,positive,commitment,1,,,,,,
3341,"Our BOD provides robust oversight of both ESG performance and climate-related risk governance, ensuring accountability at the highest levels of our organization.",board oversight of sustainability,g,positive,commitment,2,,,,,,
3342,"Our BOD provides robust oversight of both ESG performance and climate-related risk governance, ensuring accountability at the highest levels of our organization.",esg performance and climate-related risk governance oversight,g,positive,commitment,1,,,,,,
3343,"Our BOD provides robust oversight of both ESG performance and climate-related risk governance, ensuring accountability at the highest levels of our organization.",governance oversight,g,positive,commitment,1,,,,,,
3344,"Our Board of Directors (""BOD""), of which I am a part, acknowledges the importance of effective governance in executing sustainability and takes overall responsibility and accountability for the Company's sustainability strategy and performance.",board governance,g,positive,commitment,1,,,,,,
3345,"Our Board of Directors (""BOD""), of which I am a part, acknowledges the importance of effective governance in executing sustainability and takes overall responsibility and accountability for the Company's sustainability strategy and performance.",governance,g,positive,commitment,2,,,,,,
3346,Our Board of Directors acknowledges the importance of effective governance in executing sustainability and takes overall responsibility and accountability for the Company's sustainability strategy and performance.,governance,g,positive,commitment,1,,,,,,
3347,Our Board of Directors... takes overall responsibility and accountability for the Company's sustainability strategy and performance.,governance responsibility,g,positive,commitment,1,,,,,,
3348,"Our ESG principles are integrated into all of GoTo's business functions, giving us a guided path to follow as we grow and keeping us accountable to all stakeholders.",esg integration,e-s-g,positive,action,1,,,,,,
3349,"Our ESG principles are integrated into all of GoTo's business functions, giving us a guided path to follow as we grow and keeping us accountable to all stakeholders.",esg integration in business functions,e-s-g,positive,action,1,,,,,,
3350,"Our ESG strategy focuses on the well-being of our planet, our employees, and our corporation.",esg strategy,e-s-g,positive,commitment,1,,,,,,
3352,"Our Portfolio Brands - COS, Monki, Weekday, & Other Stories and ARKET - continued to develop well.",brand development,none,positive,outcome,1,,,,,,
3353,"Our Portfolio Brands - COS, Monki, Weekday, & Other Stories and ARKET - continued to develop well.",portfolio brand development,none,positive,outcome,2,,,,,,
3354,"Our Portfolio Brands - COS, Monki, Weekday, & Other Stories and ARKET - continued to develop well.",portfolio brand performance,none,positive,outcome,1,,,,,,
3355,Our Sustainability Disclosure complies with external reporting frameworks such as the Global Reporting Initiative (GRI) and the UN Guiding Principles Reporting Framework.,compliance with gri and un guiding principles,g,positive,outcome,1,,,,,,
3356,"Our Sustainability Framework continues to serve as the cornerstone of our approach to managing economic, environmental, and social impacts across and beyond our operations.",sustainability framework,e-s-g,positive,commitment,6,,,,,,
3357,"Our Sustainability Framework continues to serve as the cornerstone of our approach to managing economic, environmental, and social impacts across and beyond our operations.",sustainability strategy,e-s-g,positive,commitment,1,,,,,,
3358,"Our Sustainability Framework of the Company is based on our mission and values, and guides policy conception and procedural implementation to achieve the best results for the environment, and for economies and the communities where we operate.",sustainability framework,e-s-g,positive,commitment,1,,,,,,
3359,"Our Sustainability Framework of the Company is based on our mission and values, and guides policy conception and procedural implementation to achieve the best results for the environment, and for economies and the communities where we operate.",sustainability governance,e-s-g,positive,commitment,1,,,,,,
3360,"Our Sustainability Framework stems directly from our mission and values, and shapes our approach to managing economy, environmental, and social impacts.",sustainability framework,e-s-g,positive,commitment,5,,,,,,
3361,"Our Sustainability Framework... guides policy conception and procedural implementation to achieve the best results for the environment, and for economies and the communities where we operate.",sustainability strategy,e-s-g,positive,commitment,1,,,,,,
3362,"Our Sustainability Report is prepared in accordance with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards and its latest GRI Universal Standards 2021.",reporting compliance,g,neutral,outcome,1,,,,,,
3363,"Our Sustainability Report is published annually and is prepared in accordance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017 regarding the Implementation of Sustainable Finance for Financial Services Institutions, Issuers, and Public Companies",sustainability reporting,g,neutral,outcome,2,,,,,,
3364,"Our Sustainability Report is published annually and is prepared in accordance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017 regarding the Implementation of Sustainable Finance for Financial Services Institutions, Issuers, and Public Companies and in accordance with the criteria in the Circular Letter of the Financial Services Authority (Surat Edaran Otoritas Jasa Keuangan or ""SEOJK"") No. 16/SEOJK.04/2021 concerning the Form and Contents of the Annual Report of Issuers or Public Companies.",regulatory compliance,g,neutral,outcome,2,,,,,,
3365,"Our Sustainability Report will be published annually and is prepared according to the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017 concerning the Implementation of Sustainable Finance.",regulatory compliance,g,neutral,outcome,1,,,,,,
3366,"Our Sustainability Report will be published annually and is prepared according to the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017 concerning the Implementation of Sustainable Finance.",reporting standards compliance,g,neutral,outcome,1,,,,,,
3367,"Our Sustainability Report will be published annually and is prepared according to the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017 concerning the Implementation of Sustainable Finance.",sustainability reporting,g,neutral,outcome,2,,,,,,
3369,"Our accomplishments in maintaining good operational performance are reflected by our FY2021 net sales, which increased 21.4% to Rp44.9 trillion.",economic performance,none,positive,outcome,1,,,,,,
3370,"Our accomplishments in maintaining good operational performance are reflected by our FY2021 net sales, which increased 21.4% to Rp44.9 trillion.",operational performance,none,positive,outcome,1,,,,,,
3371,Our achievement in social sustainability performance was our ability to retain all existing employees.,employee retention,s,positive,outcome,1,,,,,,
3372,Our annual Sustainability Report is created in compliance with [...] GRI Sustainability Reporting Standards and TCFD recommendations.,sustainability reporting compliance,g,neutral,outcome,1,,,,,,
3373,"Our annual Sustainability Report is created in compliance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017, which outlines the implementation of Sustainable Finance for Financial Services Institutions, Issuers, and Public Companies.",regulatory compliance,g,neutral,outcome,4,,,,,,
3374,"Our annual Sustainability Report is created in compliance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017.",regulatory compliance,g,neutral,outcome,1,,,,,,
3375,Our annual Sustainability Report is created in compliance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or 'POJK') No. 51/POJK.03/2017.,regulatory compliance,g,neutral,outcome,1,,,,,,
3376,Our annual Sustainability Report is prepared in accordance with the Financial Services Authority Regulation (POJK) No. 51/POJK.03/2017.,regulatory compliance,g,neutral,outcome,1,,,,,,
3377,"Our annual Sustainability Report is prepared in accordance with the Financial Services Authority Regulation (Peraturan Otoritas Jasa Keuangan or ""POJK"") No. 51/POJK.03/2017, outlining the Implementation of Sustainable Finance for Financial Services Institutions, Issuers, and Public Companies.",regulatory compliance,g,neutral,outcome,2,,,,,,
3378,Our annual Sustainability Report is prepared in accordance with the Financial Services Authority Regulation... and adheres to criteria specified in the Circular Letter...,reporting compliance,g,neutral,outcome,1,,,,,,
3379,"Our annual Sustainability Report is prepared in accordance with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the latest GRI Universal Standards of 2021.",gri standards compliance,g,neutral,outcome,1,,,,,,
3380,Our aquaculture operation received Best Aquaculture Practice (BAP) certification,sustainable aquaculture,e,positive,outcome,1,,,,,,
3381,"Our areas of focus are sustainable consumption and production, animal welfare, supporting our farmers and community development.",esg focus areas,e-s,positive,commitment,1,,,,,,
3382,"Our areas of focus are sustainable consumption and production, animal welfare, supporting our farmers and community development.",sustainability focus areas,e-s,positive,commitment,1,,,,,,
3383,Our areas of focus are sustainable consumption and production.,sustainable consumption and production,e,positive,commitment,1,,,,,,
3385,"Our business concept is to offer the best combination of fashion, quality, price and sustainability.",business concept,e-s-g,positive,commitment,1,,,,,,
3386,Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,climate goals,e,positive,outcome,1,,,,,,
3387,Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,greenhouse gas emission reduction,e,positive,outcome,1,,,,,,
3388,Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,greenhouse gas emissions,e,positive,outcome,1,,,,,,
3389,Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,greenhouse gas emissions reduction,e,positive,outcome,1,,,,,,
3390,Our climate goals are set high and results show that we reduced greenhouse gas emissions by 22 percent in 2023.,greenhouse gas reduction,e,positive,outcome,1,,,,,,
3392,Our commitment is reflected by being certified for Best Aquaculture Practice in our aquaculture operations,best aquaculture practice certification,e,positive,outcome,1,,,,,,
3393,Our commitment is reflected by being certified for Best Aquaculture Practice in our aquaculture operations.,certification,e,positive,outcome,2,,,,,,
3394,Our commitment is reflected by being certified for Best Aquaculture Practice in our aquaculture operations.,environmental certification,e,positive,outcome,1,,,,,,
3395,Our commitment is reflected by being certified for Best Aquaculture Practice in our aquaculture operations.,sustainable aquaculture certification,e,positive,outcome,1,,,,,,
3396,"Our commitment to ESG drives us to innovate responsibly, create thriving and safe work environments, and uphold the highest standards of integrity.",esg commitment,e-s-g,positive,commitment,1,,,,,,
3397,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain and enabled us to cope effectively with the disruption.",responsible sourcing,e-s,positive,action,1,,,,,,
3398,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain and enabled us to cope effectively with the disruption.",supply chain management,e-s,positive,action,1,,,,,,
3399,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain and enabled us to cope effectively with the disruption.",sustainable supply chain,e-s,positive,action,1,,,,,,
3400,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain and enabled us to cope effectively with the disruption.",sustainable supply chain management,e-s,positive,action,3,,,,,,
3401,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain.",responsible sourcing,e-s,positive,action,1,,,,,,
3402,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain.",supply chain management,e-s,positive,action,1,,,,,,
3403,"Our commitment to sustainably managed, long-term partnerships with a variety of suppliers contributed to the resilience of our supply chain.",sustainable sourcing,e-s,positive,action,1,,,,,,
3404,Our community development programs include high-quality education to the community through Rumah Belajar Anak Bintang (RAJAB),community education,s,positive,action,1,,,,,,
3405,"Our community development programs include high-quality education to the community through Rumah Belajar Anak Bintang (RAJAB), MAPI Retail Academy External Training, and Youth Entrepreneurship.",community development,s,positive,action,6,,,,,,
3406,"Our community development programs include high-quality education to the community through Rumah Belajar Anak Bintang (RAJAB), MAPI Retail Academy External Training, and Youth Entrepreneurship.",community education,s,positive,action,1,,,,,,
3407,"Our community development programs include high-quality education to the community through Rumah Belajar Anak Bintang (RAJAB), MAPI Retail Academy External Training, and Youth Entrepreneurship.",community education programs,s,positive,action,2,,,,,,
3408,Our comprehensive approach to environmental stewardship extends to innovative water efficiency upgrades and resource conservation.,environmental stewardship,e,positive,action,5,,,,,,
3409,Our comprehensive approach to environmental stewardship extends to innovative water efficiency upgrades and resource conservation.,water efficiency,e,positive,action,1,,,,,,
3410,Our comprehensive approach to environmental stewardship extends to innovative water efficiency upgrades and resource conservation.,water efficiency and resource conservation,e,positive,action,2,,,,,,
3411,Our comprehensive approach to environmental stewardship extends to innovative water efficiency upgrades and resource conservation.,water efficiency upgrades,e,positive,action,2,,,,,,
3412,Our continued focus on cost control and profitability resulted in strong cash flow.,cost control and profitability,none,positive,outcome,2,,,,,,
3413,Our continued focus on cost control and profitability resulted in strong cash flow.,financial performance,none,positive,outcome,2,,,,,,
3414,"Our crucial environmental, social, and governance (""ESG"") material topics then dictate our key performance indicators (""KPI""), which enable us to execute our strategy and achieve measurable results across all of our Strategic Business Groups.",esg integration,e-s-g,positive,action,1,,,,,,
3415,"Our crucial environmental, social, and governance (""ESG"") material topics then dictate our key performance indicators (""KPI""), which enable us to execute our strategy and achieve measurable results across all of our Strategic Business Groups.",esg material topics,e-s-g,positive,action,3,,,,,,
3416,Our cumulative average growth rate (CAGR) of net sales over the last 10 years is around 42.3%.,economic performance,none,positive,outcome,1,,,,,,
3417,Our cumulative average growth rate (CAGR) of net sales over the last 10 years is around 42.3%.,financial performance,none,positive,outcome,1,,,,,,
3418,Our cumulative average growth rate (CAGR) of net sales over the last 10 years is around 42.3%.,growth rate,none,positive,outcome,1,,,,,,
3419,Our customer offering - fashion and quality at the best price in a sustainable way - is more relevant than ever.,customer offering,e-s-g,positive,commitment,1,,,,,,
3420,"Our dedication is exemplified through the ongoing implementation of Presidential Regulation no. 111 of 2022, which focuses on the achievement of Sustainable Development Goals and represents an advancement from Presidential Regulation no. 59 of 2017.",regulatory compliance,g,positive,action,1,,,,,,
3421,"Our dedication is exemplified through the ongoing implementation of Presidential Regulation no. 111 of 2022, which focuses on the achievement of Sustainable Development Goals and represents an advancement from Presidential Regulation no. 59 of 2017.",regulatory implementation,g,positive,action,1,,,,,,
3423,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,keuntungan jangka panjang,e-s-g,positive,commitment,1,,,,,,
3424,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,long-term business prospects,e-s-g,positive,commitment,1,,,,,,
3425,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,long-term business sustainability,e-s-g,positive,commitment,1,,,,,,
3426,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,long-term sustainability,e-s-g,positive,commitment,1,,,,,,
3427,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,long-term sustainability focus,e-s-g,positive,commitment,1,,,,,,
3428,Our focus extends beyond short-term profits to long-term business prospects aligned with sustainability.,sustainability,e-s-g,positive,commitment,1,,,,,,
3429,"Our focus is on creating further conditions for increased sales, for example through our increased initiatives in respect of the store portfolio and the supply chain.",sales growth initiatives,g,positive,action,1,,,,,,
3430,"Our formal ESG disclosures provide GoTo stakeholders and the public with transparent, detailed information about how we are addressing critical material areas.",esg disclosure,e-s-g,positive,outcome,1,,,,,,
3431,"Our formal ESG disclosures provide GoTo stakeholders and the public with transparent, detailed information about how we are addressing critical material areas.",esg transparency and disclosure,e-s-g,positive,outcome,1,,,,,,
3432,Our goal is for 100 percent of our materials to be made from recycled or sustainably sourced materials by 2030.,material sustainability target,e,positive,commitment,1,,,,,,
3433,Our goal is for 100 percent of our materials to be made from recycled or sustainably sourced materials by 2030.,sustainable materials,e,positive,commitment,1,,,,,,
3434,Our goal is for 100 percent of our materials to be made from recycled or sustainably sourced materials by 2030.,sustainable materials goal,e,positive,commitment,2,,,,,,
3435,Our goal is for 100 percent of our materials to be made from recycled or sustainably sourced materials by 2030.,sustainable materials target,e,positive,commitment,2,,,,,,
3437,Our greatest potential for positive change across all ESG categories comes from our work with clients.,esg impact through client work,e-s-g,positive,commitment,2,,,,,,
3438,Our greatest potential for positive change across all ESG categories comes from our work with clients.,esg integration,e-s-g,positive,commitment,1,,,,,,
3440,Our initiatives in areas such as tech and AI are a significant factor in our work to always have the right product in the right place at the right time and at the right price.,technology and ai initiatives,g,positive,action,3,,,,,,
3441,Our initiatives in areas such as tech and AI are a significant factor in our work to always have the right product in the right place at the right time and at the right price.,technology innovation,g,positive,action,1,,,,,,
3442,"Our integrated business model links four distinct stages of the production chain ranging from animal feed production, breeding, commercial farming, to food processing.",business model,g,positive,outcome,1,,,,,,
3443,"Our integrated business model links four distinct stages of the production chain ranging from animal feed production, breeding, commercial farming, to food processing.",integrated business model,g,positive,outcome,2,,,,,,
3444,"Our internal policies stipulate that illegal or unethical behavior is not tolerated by anyone, and we assess our bribery and corruption environment annually.",ethical conduct,g,positive,commitment,1,,,,,,
3445,"Our internal policies stipulate that illegal or unethical behavior is not tolerated by anyone, and we assess our bribery and corruption environment annually.",ethical conduct and risk assessment,g,positive,commitment,1,,,,,,
3446,Our investments in innovation mean we are taking important steps on our journey towards circularity.,circularity innovation investments,e,positive,action,1,,,,,,
3447,Our investments in innovation mean we are taking important steps on our journey towards circularity.,innovation investments for circularity,e,positive,action,1,,,,,,
3448,Our leadership in the Halal ecosystem has been recognized through three prestigious awards.,halal certification,s,positive,outcome,3,,,,,,
3449,Our leadership in the Halal ecosystem has been recognized through three prestigious awards.,halal certification and recognition,s,positive,outcome,1,,,,,,
3450,Our leadership in the Halal ecosystem has been recognized through three prestigious awards.,halal ecosystem leadership,s,positive,outcome,2,,,,,,
3451,Our leadership in the Halal ecosystem has been recognized through three prestigious awards.,halal leadership,s,positive,outcome,1,,,,,,
3452,Our leadership in the Halal ecosystem has been recognized through three prestigious certifications.,halal ecosystem leadership,s,positive,outcome,1,,,,,,
3453,Our leadership in the Halal ecosystem has been recognized through three prestigious certifications.,product compliance standards,s,positive,outcome,1,,,,,,
3454,Our material ESG topics inform our policies and implementation.,esg integration,e-s-g,positive,action,1,,,,,,
3455,Our material ESG topics inform our policies and implementation.,esg policy integration,e-s-g,positive,action,1,,,,,,
3456,Our material ESG topics inform our policies and implementation.,material esg topics,e-s-g,positive,action,2,,,,,,
3457,"Our media, Liputan6.com, has also joined the International Fact Checking Network (IFC), and has become a Facebook partner.",fact-checking partnership,s,positive,action,1,,,,,,
3458,"Our media, Liputan6.com, has also joined the International Fact Checking Network (IFC), and has become a Facebook partner.",media ethics,s,positive,action,4,,,,,,
3459,Our mission of being a force for positive change is what motivates me to work for KPMG.,corporate purpose,s,positive,commitment,1,,,,,,
3460,Our mission of being a force for positive change is what motivates me to work for KPMG.,positive impact,s,positive,commitment,1,,,,,,
3461,Our mission of being a force for positive change is what motivates me to work for KPMG.,positive impact commitment,s,positive,commitment,1,,,,,,
3462,Our net profit in 2023 was IDR2.4 trillion,net profit,none,positive,outcome,1,,,,,,
3463,Our net profit in 2023 was IDR2.4 trillion.,net profit,none,positive,outcome,1,,,,,,
3465,Our policies and procedures ensure that we produce palm oil responsibly.,responsible palm oil production,e,positive,commitment,4,,,,,,
3466,Our policies and procedures ensure that we produce palm oil responsibly.,responsible production,e,positive,commitment,1,,,,,,
3467,Our policies and procedures ensure that we produce palm oil responsibly.,sustainable sourcing,e,positive,commitment,2,,,,,,
3468,Our policies and procedures ensure that we produce palm oil responsibly. We fully comply with the ISPO standards certification and assist our suppliers in doing the same.,sustainable agribusiness,e,positive,commitment,1,,,,,,
3469,Our policy on environmental management ensures systematic efforts to reduce waste and energy-use and more as part of the environmental management system.,environmental management system,e,positive,commitment,1,,,,,,
3470,"Our portfolio of products helps Businesses, by guaranteeing continuity in the face of disruptions, while also reducing costs and contributing to environmental goals",business continuity and environmental goals,e-g,positive,outcome,1,,,,,,
3471,"Our portfolio of products, including GoTo Connect, GoTo Resolve, and LogMeIn Rescue, helps: Employees, by enabling them to work securely and flexibly to best suit their lifestyle",employee work flexibility,s,positive,outcome,1,,,,,,
3472,Our position as a leading telecommunication retail and distribution Company has enforced us to continuously improve and enhance all of our operational lines in order to maintain our performance.,operational improvement,g,positive,action,1,,,,,,
3473,Our position as a leading telecommunication retail and distribution Company has enforced us to continuously improve and enhance all of our operational lines in order to maintain our performance.,telecommunication retail and distribution,g,positive,action,1,,,,,,
3474,Our poultry farmers partnership programme has been established for decades.,poultry partnership program,s,positive,outcome,1,,,,,,
3475,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",environmental stewardship,e-s,positive,outcome,1,,,,,,
3476,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",occupational safety,e-s,positive,outcome,1,,,,,,
3477,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",operational efficiency,e-s,positive,outcome,1,,,,,,
3478,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",operational efficiency & safety,e-s,positive,outcome,1,,,,,,
3479,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",operational efficiency and environmental stewardship,e-s,positive,outcome,1,,,,,,
3480,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",operational efficiency and safety,e-s,positive,outcome,2,,,,,,
3481,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",production efficiency and environmental management,e-s,positive,outcome,1,,,,,,
3482,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",production output,e-s,positive,outcome,1,,,,,,
3483,"Our production output showed a positive trajectory, supported by enhanced operational efficiency, a strong commitment to safety and environmental stewardship.",produksi,e-s,positive,outcome,1,,,,,,
3484,"Our products make IT easy so that you can focus on the things that matter most throughout the day like your projects, your professions, and even your personal passions.",customer experience,none,positive,outcome,1,,,,,,
3485,Our remote-centric workforce and core business of technology solutions keep our environmental footprint small.,environmental footprint,e,positive,outcome,3,,,,,,
3486,"Our report is prepared in accordance with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the latest GRI Universal Standards of 2021.",reporting standards,g,neutral,outcome,1,,,,,,
3487,"Our report is prepared in accordance with the Global Reporting Initiatives (""GRI"") Sustainability Reporting Standards, incorporating the latest GRI Universal Standards of 2021.",sustainability reporting,g,neutral,outcome,1,,,,,,
3488,Our report reflects both firms' ongoing dedication to creating long-term value for our stakeholders.,stakeholder value,e-s-g,positive,commitment,1,,,,,,
3489,"Our stores, which are in prime locations, are a major asset where we meet our customers every day.",store location asset,none,positive,outcome,1,,,,,,
3490,"Our stores, which are in prime locations, are a major asset where we meet our customers every day.",store network,none,positive,outcome,1,,,,,,
3491,Our strategy centers on aligning products with local market needs and tailoring store offerings to match dynamic consumer demands.,aligning products,g,positive,action,1,,,,,,
3492,Our strategy centers on aligning products with local market needs and tailoring store offerings to match dynamic consumer demands.,market alignment,g,positive,action,1,,,,,,
3493,Our strategy centers on aligning products with local market needs and tailoring store offerings to match dynamic consumer demands.,market alignment and consumer demand,g,positive,action,1,,,,,,
3494,Our strict biosecurity protocols worked well to not only protect our livestock but also our people in this pandemic.,employee health and safety,s,positive,outcome,1,,,,,,
3495,Our strong culture with our shared values has been an important factor in our ability to drive improvements within the business.,corporate culture and values,s,positive,outcome,1,,,,,,
3496,Our subsidiary Out of Asia works with thousands of local artists and distribute their exquisite craftmanship to more than 20 countries.,local artisan support,s,positive,action,2,,,,,,
3498,"Our sustainability efforts transcend across our operations from feedmills to farms, and across our departments from human resources to information technology and finance.",sustainability efforts,e-s-g,positive,action,1,,,,,,
3499,"Our sustainability efforts transcend across our operations from feedmills to farms, and across our departments from human resources to information technology and finance.",sustainability integration,e-s-g,positive,action,2,,,,,,
3500,Our sustainability initiatives also provide the group with long-term business opportunities.,science-based targets and sustainability initiatives,e-s-g,positive,outcome,2,,,,,,
3501,Our sustainability initiatives also provide the group with long-term business opportunities.,sustainability business opportunities,e,positive,action,3,,,,,,
3502,"Our sustainability processes and practices have continued to evolve and mature, resulting in our report theme of ""Persevering Sustainably in the Midst of Global Challenges"".",sustainability strategy and governance,none,neutral,outcome,1,,,,,,
3503,Our vertically integrated business model allows us to implement sustainability practices throughout our operations and to make a positive impact,sustainability practices implementation,s,positive,action,1,,,,,,
3504,Our vertically integrated business model allows us to implement sustainability practices throughout our operations and to make a positive impact,sustainable business model,s,positive,action,1,,,,,,
3505,Our vertically integrated business model allows us to implement sustainability practices throughout our operations and to make a positive impact.,sustainability integration,e,positive,action,2,,,,,,
3506,Our vertically integrated business model allows us to implement sustainability practices throughout our operations and to make a positive impact.,sustainability practices,e-s-g,positive,action,1,,,,,,
3507,Our work was carried out in accordance with ISAE3000 'Assurance Engagements other than Audits or Reviews of Historical Financial Information' issued by the International Auditing and Assurance Standards Board.,assurance standards compliance,g,neutral,action,1,,,,,,
3508,Our work was carried out in accordance with ISAE3000 'Assurance Engagements other than Audits or Reviews of Historical Financial Information' issued by the International Auditing and Assurance Standards Board.,reporting standards,g,neutral,action,1,,,,,,
3509,Our work was carried out in accordance with ISAE3000 'Assurance Engagements other than Audits or Reviews of Historical Financial Information' issued by the International Auditing and Assurance Standards Board.,reporting standards compliance,g,neutral,action,1,,,,,,
3510,Our work was carried out in accordance with ISAE3000 'Assurance Engagements other than Audits' or Reviews of Historical Financial Information issued by the International Auditing and Assurance Standards Board.,assurance standards compliance,g,neutral,action,1,,,,,,
3515,Over the years we continually strive to improve our performance and our efficiency to provide affordable nutritious proteins.,efficiency improvement,none,positive,action,1,,,,,,
3516,Over the years we continually strive to improve our performance and our efficiency to provide affordable nutritious proteins.,performance improvement,none,positive,action,2,,,,,,
3517,PELAKSANAAN PROGRAM PENGEMBANGAN DAN PEMBERDAYAAN MASYARAKAT TAHUN 2021 Implementing 2021 Community Development and Empowerment Programs,community development program implementation,s,positive,action,1,,,,,,
3518,PELAKSANAAN PROGRAM PENGEMBANGAN DAN PEMBERDAYAAN MASYARAKAT TAHUN 2021 Implementing 2021 Community Development and Empowerment Programs,implementing community development and empowerment programs,s,positive,action,1,,,,,,
3519,PELESTARIAN KEANEKARAGAMAN HAYATI,biodiversity conservation,e,positive,commitment,1,,,,,,
3520,PELESTARIAN KEANEKARAGAMAN HAYATI (Biodiversity Conservation),biodiversity protection,e,positive,commitment,1,,,,,,
3521,PELESTARIAN KEANEKARAGAMAN HAYATI Biodiversity Conservation,biodiversity conservation,e,positive,commitment,1,,,,,,
3522,PEMBELIAN PADA PEMASOK LOKAL 2021: 2.809.956 USD (meningkat dari 855.297 USD di 2020),local supplier empowerment,s,positive,outcome,1,,,,,,
3523,PEMBENTUKAN TIM PELAPORAN KEBERLANJUTAN BRMS Formation of BRMS Sustainability Reporting Team,formation of brms sustainability reporting team,g,neutral,action,1,,,,,,
3524,"PEMBERDAYAAN PEMASOK LOKAL US$ 408,355",local supplier development,s,positive,outcome,1,,,,,,
